NR,OGGETTO,VETRINA,DIDASCALIA,STATO_CORRENTE,LINK,OGGETTO_ESISTENTE,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Licenza,PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Licenza,MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Licenza,OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Licenza,ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Licenza,METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Licenza,CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),CARICAMENTO_Licenza,ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),STANZA
49,Maschera Atzeca,,"Maschera Raffigurante Yacatecuhtli, Patrono Dei Mercanti, Cultura Nahua, Ca. 1350-1521 D.c.",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240321-kfhnvfaof,,Recuperato Da Cnr Isti,,,,,,,,,,,,,,,,,,Unibo Ficlit,Alice Bordignon,Blender,2024-03-21,2024-03-21,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-03-21,2024-03-21,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-03-21,2024-03-21,,,,4
50,"Manico Di Coltello, Zoomorfo",,"Manico Di Coltello Sacrificale In Forma Di Rettile Fantastico Cultura Nahua, Ca. 1350-1521 D.c.",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20240326-pbyrv6abr,,Recuperato Da Cnr Isti,,,,,,,,,,,,,,,,,,Unibo Ficlit,Francesca Fabbri,Blender,2024-03-26,2024-03-26,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Francesca Fabbri,Blender,2024-03-26,2024-03-26,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Francesca Fabbri,Nextcloud; Aton,2024-03-26,2024-03-24,,,,4
51,"Manico Di Coltello, Antropomorfo",,Manico Di Coltello Sacrificale In Forma Di Figura Umana,7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20241206-3fu0nt1zx,,Recuperato Da Cnr Isti,,,,,,,,,,,,,,,,,,Unibo Ficlit,Alice Bordignon,Blender,2024-03-21,2024-03-21,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-03-21,2024-03-21,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-03-21,2024-03-21,,,,4
52,"Tavola Aldrovandi, Maschera Atzeca",,Maschera,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231016-zs58hnbi0,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-07-11,2023-07-11,,Unibo Ficlit,Alice Bordignon,Blender,2023-10-13,2023-10-13,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; 3df Zephyr; Gimp,2023-10-16,2023-10-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-10-16,2023-10-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-10-16,2023-10-16,,2023-05-22,2023-05-22,4
53,Testina,,"Pendente Con Testa Di Idolo In Serpentino Cultura Nahua O Mixteca, Ca. 1350-1521 D.c.",7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231031-4nnm7epwx,,,Unibo Dbc,Federica Collina,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Dbc,Federica Collina,Artec Studio 14,2023-05-15,2023-05-15,,Unibo Dbc,Federica Collina,Artec Studio 15,2023-06-15,2023-06-15,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-15,2023-06-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Federica Collina,Artec Studio 15; Adobe Photoshop 2023,2023-06-15,2023-06-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-10-25,2023-10-25,,2023-05-15,2023-05-15,4
54,"Tavola Aldrovandi, Testina",,Idoli,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231017-8gglnqzq2,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Panasonic Dmc-lx100,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-10-17,2023-10-17,,Unibo Ficlit,Alice Bordignon,Blender,2023-10-17,2023-10-17,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; 3df Zephyr; Gimp,2023-10-17,2023-10-17,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2023-10-17,2023-10-17,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-10-17,2023-10-17,,2023-05-22,2023-05-22,4
a_alto_centro,"Manoscritto, Testamento Di Aldrovandi",,Testamento Di Ulisse Aldrovandi,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240327-j4fuwg3vx,,,Cnr Ispc,Daniele Ferdani,Fotogrammetria,Nikon D7200; Nikkor 50mm,,Unibo Ficlit,Alice Bordignon,3df Zephyr,2023-05-25,2023-05-25,,Unibo Ficlit,Alice Bordignon,Blender,2024-03-25,2024-03-25,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Instant Meshes; Gimp; 3df Zephyr,2024-03-26,2024-03-26,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Alice Bordignon,Blender,2024-03-27,2024-03-27,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2024-03-27,2024-03-27,,2023-05-22,2023-05-22,5
a_alto_sinistra_1,Medaglia,,"Medaglia In Piombo, Lead Medal Timoteo Refati, Sec. Xvi - 16th Century Bologna, Museo Civico Archeologico",7 - Caricato su Aton,https://aton.ispc.cnr.it/s/aldrovandi/20250716-5i9cf0dyf,,,Unibo Ficlit,Luisa Ammirati,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-07-08,2025-07-16,,Unibo Ficlit,Luisa Ammirati,Artec Studio 19,2025-07-16,2025-07-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Artec Studio 19; Blender,2025-07-16,2025-07-16,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Ficlit,Luisa Ammirati,Blender,2025-07-16,2025-07-16,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-24,,Unibo Ficlit,Luisa Ammirati,Nextcloud; Aton,2025-07-16,2025-07-16,,2025-07-08,2025-07-08,5
a_alto_sinistra_2,Medaglia,,Medaglia Commemorativa Delle Onoranze Del 1907 Commemorative Medal From The 1907 Celebrations,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20240520-v3xsotwxb,,,Unibo Ficlit,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,,Cnr Ispc,Maria Felicia Rega,3df Zephyr,2024-05-20,2024-05-20,,Cnr Ispc,Maria Felicia Rega,Blender,2024-05-20,2024-05-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender; Gimp,2024-05-20,2024-05-20,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Cnr Ispc,Maria Felicia Rega,Blender,2024-05-20,2024-05-20,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Cnr Ispc,Maria Felicia Rega,Nextcloud; Aton,2024-05-20,2024-05-20,,2024-05-06,2024-05-06,5
a_alto_sinistra_3,Medaglia,,Calchi In Gesso Di Medaglie Coniate Con Aldrovandi Vivente Plaster Casts Of 16th Century Medals,7 - Caricato su Aton,Https://aton.ispc.cnr.it/s/aldrovandi/20231121-cke7t15fj,,,Unibo Dbc,Veronica Casadei,Scansione A Proiezione Di Luce Strutturata,Artec Eva,,Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-07,2023-06-07,,Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-21,2023-06-21,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-06-30,2023-06-30,CC0 [https://creativecommons.org/publicdomain/zero/1.0/],Unibo Dbc,Veronica Casadei,Artec Studio 15,2023-07-05,2023-07-05,,Unibo Dbc; Unibo Ficlit,Sebastian Barzaghi; Arianna Moretti; Arcangelo Massari,CHAD-AP; Morph-KGC; Heritrace,2025-03-24,2025-03-25,,Unibo Ficlit,Alice Bordignon,Nextcloud; Aton,2023-11-21,2023-11-21,,2023-06-07,2023-06-07,5
