"NR","NR collegato","Relazione","Sala mostra","Didascalia","Riproduzione digitale","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"1","","","1","Carta nautica\n Nautical chart\n Grazioso Benincasa, sec. XV\n BUB, Rotulo 3","","","Carta Nautica","Disegno","Carta Nautica","Europa [Europe]; Africa [Africa]; Asia [Asia]; Mar Mediterraneo [Mediterranean Sea]","Carta nautica @ita","Carta nautica","Nautical chart","1482","","Grazioso Benincasa (ulan:500114874)","","Grazioso Benincasa (ulan:500114874)","","","","","Raffaelo Riario (viaf:25474452)","","","","","Biblioteca Universitaria di Bologna","Bologna","Rotulo 3","","Https://it.wikipedia.org/wiki/grazioso_benincasa#/media/file:grazioso_benincasa._biblioteca_universitaria,_bolonia.1482.jpg",""
"2","","","1","Panthera leo (Linnaeus, 1758)\n Diorama con tre leoni tassidermizzati\n Diorama with three taxidermized lions\n Manifattura Rowland Ward - Londra, inizio sec. XX – early 20th century\n Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","","Diorama","Tassidermia","Diorama","leone [lion]","","Panthera leo (Linnaeus, 1758)","Lion (Linnaeus, 1758)","1900-1930","Carl Von Linné (viaf:34594730)","James Rowland Ward (viaf:60497939)","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"3","","","1","Aristoteles\n De historia animalium\n Lib. 9\n Venezia, Girolamo Scoto, 1545\n BUB, A.v.gg.vii.28","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","biologia [biology]","De historia animalium @lat","De historia animalium","The history of animals","1545","","Aristotele (ulan:500259120)","","","","Girolamo Scoto (viaf:13137489)","","","","Serie Di Volumi A Stampa","De historia animalium","9","","Biblioteca Universitaria di Bologna","Bologna","A.v.gg.vii.28","","",""
"4","","","1","Theophrastus\n Peri phyton (De historia plantarum)\n In Aristoteles, Opera, Vol. 4\n Venezia, Aldo Manuzio, 1497\n ISTC Ia00959000 BUB, A.v.kk.x.6","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","botanica [botany]","De historia plantarum @lat","De historia plantarum","The history of plants","1497","","Teofrasto (viaf:265397758)","","","","Aldo Manuzio (viaf:96325760)","","","","Incunabolo","Opera (istc:ia00959000)","4","","Biblioteca Universitaria di Bologna","Bologna","A.v.kk.x.6","Https://data.cerl.org/istc/ia00959000 Https://data.cerl.org/mei/02133227","",""
"5","","","1","Dioscorides Pedanius\n De medica materia\n Firenze, Filippo Giunta Eredi, 1523\n BUB, A.iv.h.i.27","","","Erbario","Stampa Tipografica","Erbario","erbe medicinali [medicinal herbs]","De medica materia @lat","De medica materia","On medical material","1523","","Dioscorides Pedanius (viaf:78822798)","","","","Filippo Giunta (viaf:79080779)","Firenze","","","","","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.h.i.27","","",""
"6","","","1","Plinius Secundus Gaius\n Naturae historiarum\n Venezia, Giorgio Rusconi, 1519\n BUB, A.v.r.vi.9","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","medicina [medicine]; botanica [botany]","Naturae historiarum @lat","Naturae historiarum","The natural history","1519","","Gaius Plinius Secundus (viaf:100219162)","","","","Giorgio Rusconi (viaf:36501174)","Venezia","","","","","","","Biblioteca Universitaria di Bologna","Bologna","A.v.r.vi.9","","",""
"7","","","1","Profilo incompleto delle coste del continente americano\n Incomplete coastal profile of the American continent\n In Battista Agnese, Atlante nautico, sec. XVI\n 16th century\n BUB, Ms. 997","","","Carta Nautica","Disegno","Carta Nautica","America [America]; Europa [Europe]","Profilo incompleto delle coste del continente americano @ita","Profilo incompleto delle coste del continente americano","Incomplete coastal profile of the American continent","1500-1599","","Battista Agnese (ulan:500048088)","","Battista Agnese (ulan:500048088)","","","","","Alfonso II d'Este (viaf:27142287)","Atlante Nautico","Atlante nautico","","","Biblioteca Universitaria di Bologna","Bologna","Ms. 997","Http://www.rmoa.unina.it/4532/1/_sd%202016%20baumgaertner_battista%20agnese_20160215.pdf","",""
"8","","","1","Mappa di Cusco\n Map of Cusco\n In Giovanni Battista Ramusio, Delle navigationi et viaggi\n Venezia, Giunta, 1556\n BUB, A.iv.p.i.14/3","","","Carta Nautica","Stampa","Carta Nautica","America [America]; Perù [Peru]; Cusco [Cusco]","Mappa di Cusco @ita","Mappa di Cusco","Map of Cusco","1556","","Giovanni Battista Ramusio (viaf:68943129)","","","","Filippo Giunta (viaf:79080779)","Firenze","","","Volume A Stampa","Delle navigationi et viaggi","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.p.i.14/3","Https://commons.wikimedia.org/wiki/file:1565_cusco_ramusio_delle_navigationi_vol3_pp411-412.png; Https://collections.library.yale.edu/catalog/2030955;","Https://upload.wikimedia.org/wikipedia/commons/b/b4/1565_cusco_ramusio_delle_navigationi_vol3_pp411-412.png",""
"9","","","1","Pietro Martire d’Anghiera\n De orbo novo\n Alcalà de Henares, de Eguia Miguel, 1530\n BUB, A.m.c.v.2","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","America [America]","De orbo novo @lat","De orbo novo","On the new world","1530","","Pietro Martire D'Anghiera (viaf:68967770)","","","","Miguel De Eguía (viaf:99748920)","Alcalà de Henares","","","","","","","Biblioteca Universitaria di Bologna","Bologna","A.m.c.v.2","Https://openlibrary.org/books/ol861815m/de_orbe_nouo_petri_martyris_ab_angleria_mediolanensis_protonotarij_c_a_esaris_senatoris_decades.","Https://openlibrary.org/books/ol861815m/de_orbe_nouo_petri_martyris_ab_angleria_mediolanensis_protonotarij_c_a_esaris_senatoris_decades.",""
"10","","","1","Josè De Acosta\n Historia naturale e morale delle Indie\n Venezia, Bernardo Basa, 1596\n BUB, A.m.rr.i.33","","","Volume A Stampa","Stampa Tipografica","Volume A Stampa","America [America]; fauna [fauna]; flora [flora]","Historia naturale, e morale delle Indie @ita","Historia naturale, e morale delle Indie","Natural and moral history of the Indies","1596","","José De Acosta (viaf:2465365)","","","","Bernardo Basa (viaf:29690263)","Venezia","","","","","","","Biblioteca Universitaria di Bologna","Bologna","A.m.rr.i.33","Https://it.wikipedia.org/wiki/de_orbe_novo","",""
"11","","","1","Tabacco\n Tobacco\n In Nicolas Monardes, Simplicium medicamentorum ex novo orbe delatorum, Anversa, Christopher Plantin, 1579\n BUB, A.iv.g.ix.5/2","","","Stampa","Stampa Tipografica","Volume A Stampa","flora [flora]; America [America]","Tabacco @ita","Tabacco","Tobacco","1579","","Nicolás Monardes (viaf:100203985)","","","","Christophe Plantin (viaf:120696841)","Anversa","","","Volume A Stampa","Simplicium medicamentorum ex novo orbe delatorum","","","Biblioteca Universitaria di Bologna","Bologna","A.iv.g.ix.5/2","Https://www.biodiversitylibrary.org/bibliography/75184","Https://bibdigital.rjb.csic.es/records/item/13790-redirection",""
"v2_1","","","1","Giovanni Domenico Tiepolo\n Figura allegorica che rappresenta l’America\n Allegorical figure representing America\n sec. XVIII\n 18th century\n New York, The Metropolitan Museum of Art","","","Dipinto","Affresco","Video","America [America]; allegoria [allegory]; coccodrillo [crocodile]","Figura allegorica che rappresenta l’America @ita","Figura allegorica che rappresenta l’America","Allegorical figure representing America","1727–1804","","Giovanni Domenico Tiepolo (ulan:500025154)","","Giovanni Domenico Tiepolo (ulan:500025154)","","","","","","Serie Di Affreschi","I quattro continenti","","","The Metropolitan Museum of Art","New York","43.85.20","Https://www.metmuseum.org/art/collection/search/437810","Https://collectionapi.metmuseum.org/api/collection/v1/iiif/437810/805471/main-image","This Work Is Part Of A Series Of The Allegorical Representations Of The Four Continents That Originally Served As Overdoors. Giovanni Domenico Tiepolo Based His Figure Of America On Symbols Codified In Cesare Ripa’s Iconologia (1593): The Feathered Headdress And Crocodile. Like Representations Of Saints Or Other Figures That Artists Aimed To Identify, These Attributes Were Important Signals To Historical Audiences, Though In The Case Of The Four Continents, They Eventually Fed Into Racialized Stereotypes. Like The Other Large-scale Allegorical Frescoes In This Gallery, This Panel Was Probably Detached Around 1900 From The Palazzo Valle Marchesini Sala In Vicenza."
"v2_2","","","1","Nicolaes Berchem\n Allegoria dell’America\n Allegory of America\n Seconda metà sec. XVII - Second half 17th century\n New York, The Metropolitan Museum of Art","","","Opera D'arte","Disegno","Video","America [America]; allegoria [allegory]; religione [religion]","Allegoria dell’America @ita","Allegoria dell’America","Allegory of America","1620–1683","","Nicolaes Berchem (ulan:500010297)","","Nicolaes Berchem (ulan:500010297)","","","","","","","","","","The Metropolitan Museum of Art","New York","59.208.90","Https://www.metmuseum.org/art/collection/search/335063","Https://collectionapi.metmuseum.org/api/collection/v1/iiif/335063/748131/main-image","This Drawing Served As A Model For An Engraved Title Page In The Second Volume Of An Atlas On The Americas, Joan Blaeu’s Atlas Maior (amsterdam, 1662). Berchem, A Prolific Draftsman And Painter Who Specialized In Landscapes, Reconfigured The New World Allegory For A Dutch Context By Including A Detailed Setting Alluding To Trade And Religion. At The Indigenous Woman’s Feet, Another Native Pours Out Gold. A Salamander And Gold Bars Suggest The Exoticism And Riches Associated With The Americas. Background Scenes Show The Metal Being Mined, Carried, And Transported On A European Vessel. Up In The Clouds, European Allegories Convert Natives To Christianity And Battle The Devil."
"v2_3","","","1","Giambattista Tiepolo\n America. Dettaglio dell’allegoria dei pianeti e dei continenti\n America. Detail of allegory of the planets and continents\n 1751-1753\n Residenza di Würzburg (Germania). Foto Scala, Firenze","","","Dipinto","Affresco","Video","America [America]; Africa [Africa]; Asia [Asia]; Europa [Europe]","America. Dettaglio dell’allegoria dei pianeti e dei continenti @ita","America. Dettaglio dell’allegoria dei pianeti e dei continenti","America. Detail of allegory of the planets and continents","1751-1753","","Giovanni Domenico Tiepolo (ulan:500025154)","","Giovanni Domenico Tiepolo (ulan:500025154)","","","","","","","","","","Residenza del principe-vescovo von Greiffenclau","Würzburg","","Https://www.arteopereartisti.it/allegoria-dei-pianeti-e-dei-continenti/","Https://www.arteopereartisti.it/wp-content/uploads/2018/12/adpedc-00.jpg",""
"v2_4","","","1","John Stafford\n America (serie: I quattro continenti)\n America (series: The Four Continents)\n 1630\n Londra, The British Museum. © The Trustees of the British Museum","","","Stampa","Incisione","Video","America [America]; allegoria [allegory]","America (serie: I quattro continenti) @ita","America (serie: I quattro continenti)","America (series: The Four Continents)","1630","","John Stafford","","","","John Stafford","","","","Serie Di Stampe","I quattro continenti","","","British Museum","Londra","18,700,514.12","Https://www.britishmuseum.org/collection/object/p_1870-0514-1179","Https://media.britishmuseum.org/media/repository/documents/2014_10/3_16/dc94bf2e_72df_46ef_852e_a3b9010a529d/mid_00206110_001.jpg",""
"v2_5","","","1","Ferdinand van Kessel\n America\n 1691\n Vienna, Kunsthistorisches Museum. © Khm-Museumsverband","","","Dipinto","Olio Su Tela","Video","America [America]; allegoria [allegory]","America @ita","America","America","1691","","Ferdinand Van Kessel (ulan:500030696)","","Ferdinand Van Kessel (ulan:500030696)","","","","","","Serie Di Dipinti","","","","Kunsthistorisches Museum","Vienna","Gemäldegalerie, 2800","Https://www.khm.at/en/objectdb/detail/1024/?offset=4&lv=list","Https://upload.wikimedia.org/wikipedia/commons/d/df/ferdinand_van_kessel_-_america.jpg?20161014105016",""
"v2_6","","","1","Adriaen Collaert (da Maerten De Vos), America (serie: I quattro continenti)\n America (series: The Four Continents)\n 1586-1591\n Amsterdam, Rijksmuseum","","","Stampa","Incisione","Video","America [America]; allegoria [allegory]","America (serie: I quattro continenti) @ita","America (serie: I quattro continenti)","America (series: The Four Continents)","1586-1591","","","","Marten De Vos (ulan:500029816)","Adriaen Collaert (ulan:500021205)","","","","","Serie Di Stampe","I quattro continenti","","","Rijksmuseum","Amsterdam","Rp-p-bi-6060","Https://www.rijksmuseum.nl/en/collection/rp-p-bi-6060","Https://upload.wikimedia.org/wikipedia/commons/d/d3/marten_de_vos_adriaen_collaert_america.jpg",""
