NR,NR collegato,Relazione,Sala mostra,Didascalia,Riproduzione digitale,Consistenza,Tipologia documentaria,Tecnica,Tipologia riprod. in mostra,Soggetti,Titolo originale,Titolo museale,Titolo @en,Data,Scopritore,Autore,Traduttore,Disegnatore,Incisore,Editore,Luogo editore,Preparatore museale,Committente,Tipologia opera parente,Titolo opera parente,Volume,Collezione,Ente conservatore,Luogo conservazione,Collocazione,Fonte,Immagine digitale,Iconografia
699690,,,,"Ammonite, cefalopode con conchiglia esterna",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699691,,,,"Ammonite, cefalopode con conchiglia esterna",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699692,,,,"Ammonite, cefalopode con conchiglia esterna",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Fiore,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699693,,,VIII,"Rudista, mollusco bivalve",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699694,,,X,"Scheletro completo di un adrosauro, dinosauro a becco d'anatra",,,Calco,vetroresina,,,,,,,,"Bacchia, Flavio (VIAF: 1311149719129911130005)",,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699696,,,,Mascella di scimmia antropomorfa,,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699697,,,XII,Cranio di leone delle caverne,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699703,699781,In relazione con,,Impronta fossile di dinosauro,,,Specimen,Impronta,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699704,,,,Impronta fossile di dinosauro,,,Specimen,Impronta,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699706,,,IV,Cranio di delfino,,,Calco,Fossile,,,,,,,,,,,,,,,,,,,Lawley,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699707,,,IV,Pesce spada,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699708,,,VI,"Mastodonte, sesto molare superiore destro",,,Specimen,Fossile,,,,,,,"Capellini, Giovanni (VIAF: 69232941)",,,,,,,,,,,,Capellini,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699710,,,VI,Mascella e palato di rinoceronte,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699711,,,XIII,Scheletro di balena,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699712,,,X,Cranio parziale di mosasauro,,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699714,,,XI,"Ratite, uccello corridore dalla Nuova Zelanda",,,Specimen,Fossile,,,,,,,,,,,,,,,,,,,Capellini,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699715,,,IV,Scheletro completo del bradipo terricolo scelidoterio,,,Specimen,Fossile,,,,,,,"Ameghino, Florentino (VIAF: 14888610) ",,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699716,,,IV,Carapace di gliptodonte,,,Specimen,Fossile,,,,,,,"Ameghino, Florentino (VIAF: 14888610) ",,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699717,,,IV,Ricostruzione ottocentesca di gliptodonte,,,Calco,Gesso,,,,,,,"Ameghino, Florentino (VIAF: 14888610) ",,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699718,,,IV,Mandibola sinistra di gliptodonte,,,Specimen,Fossile,,,,,,,"Ameghino, Florentino (VIAF: 14888610) ",,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699719,,,IV,Mandibola destra di gliptodonte,,,Specimen,Fossile,,,,,,,"Ameghino, Florentino (VIAF: 14888610) ",,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699720,,,IV,Femore di gliptodonte,,,Specimen,Fossile,,,,,,,"Ameghino, Florentino (VIAF: 14888610) ",,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699721,,,IV,Ossa del bacino di gliptodonte,,,Specimen,Fossile,,,,,,,"Ameghino, Florentino (VIAF: 14888610) ",,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699722,,,VI,"Mammut, dente molare",,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
699723,,,VI,Cranio di mammut,,,Calco,Gesso,,,,,,,,,,,,,,,,,,,,"Collezione di Geologia ""Museo Giovanni Capellini""",Bologna,,,,
