NR,OGGETTO,SALA,STATO_CORRENTE,LINK_MOD,NOTE,ACQUISIZIONE_Istituto_responsabile_acquisizione,ACQUISIZIONE_Persone_responsabili_acquisizione,ACQUISIZIONE_Tecnica_di_acquisizione,ACQUISIZIONE_Strumentazione_di_acquisizione,ACQUISIZIONE_Tempi_di_acquisizione_Data_inizio_(specificare_data_mm-dd),ACQUISIZIONE_Tempi_di_acquisizione_Data_fine_(specificare_data_mm-dd),PROCESSAMENTO_Istituto_responsabile_processamento,PROCESSAMENTO_Persone_responsabili_processamento,PROCESSAMENTO_Strumentazione_di_processamento,PROCESSAMENTO_Tempi_di_processamento_Data_inizio_(specificare_data_mm-dd),PROCESSAMENTO_Tempi_di_processamento_Data_fine_(specificare_data_mm-dd),MODELLAZIONE_Istituto_responsabile_modellazione,MODELLAZIONE_Persone_responsabili_modellazione,MODELLAZIONE_Strumentazione_di_modellazione,MODELLAZIONE_Tempi_di_modellazione_Data_inizio_(specificare_data_mm-dd),MODELLAZIONE_Tempi_di_modellazione_Data_fine_(specificare_data_mm-dd),OTTIMIZZAZIONE_Istituto_responsabile_ottimizzazione,OTTIMIZZAZIONE_Persone_responsabili_ottimizzazione,OTTIMIZZAZIONE_Strumentazione_di_ottimizzazione,OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_inizio_(specificare_data_mm-dd),OTTIMIZZAZIONE_Tempi_di_ottimizzazione_Data_fine_(specificare_data_mm-dd),ESPORTAZIONE_Istituto_responsabile_esportazione,ESPORTAZIONE_Persone_responsabili_esportazione,ESPORTAZIONE_Strumentazione_di_esportazione,ESPORTAZIONE_Tempi_di_esportazione_Data_inizio_(specificare_data_mm-dd),ESPORTAZIONE_Tempi_di_esportazione_Data_fine_(specificare_data_mm-dd),METADATAZIONE_Istituto_responsabile_metadatazione,METADATAZIONE_Persone_responsabili_metadatazione,METADATAZIONE_Strumentazione_di_metadatazione,METADATAZIONE_Tempi_di_metadatazione_Data_inizio_(specificare_data_mm-dd),METADATAZIONE_Tempi_di_metadatazione_Data_fine_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Istituto_responsabile_caricamento,CARICAMENTO_SU_ATON_Persone_responsabili_caricamento,CARICAMENTO_SU_ATON_Strumentazione_di_caricamento,CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_inizio_(specificare_data_mm-dd),CARICAMENTO_SU_ATON_Tempi_di_caricamento_Data_fine_(specificare_data_mm-dd),ACQUISIZIONE_Licenza,LINK,MODELLAZIONE_Licenza,OGGETTO_ESISTENTE,OTTIMIZZAZIONE_Licenza,PROCESSAMENTO_Licenza
699714,Moa della nuova Zelanda ,11,5 - Esportato,,,UNIBO DA,Mattia Sullini,Fotogrammetria,Sony alpha 7 II,09/10/2024,09/10/2024,UNIBO DA,Mattia Sullini,Metsahape,10/10/2024,11/10/2024,UNIBO DA,Mattia Sullini,"Modo, Zbrush",5/4/2025,20/5/2025,UNIBO DA,Mattia Sullini,"Modo, Zbrush",5/6/2025,12/6/2025,UNIBO DA,Mattia Sullini,InstaLOD,26/2/2026,28/2/2026,,,,,,,,,,,,,,,,
699724,Ichtyosaurus cf. communis ,11,5 - Esportato,,,UNIBO FICLIT,Alice Bordignon,Fotogrammetria,Sony Alpha 6100,11/06/2024,11/06/2024,UNIBO FICLIT,Alice Bordignon,3DF Zephyr,08/07/2024,08/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,08/07/2024,08/07/2024,UNIBO FICLIT,Alice Bordignon,"Instant Meshes, Blender, Gimp, 3DF Zephyr",08/07/2024,08/07/2024,UNIBO FICLIT,Alice Bordignon,Blender,09/07/2024,09/07/2024,,,,,,,,,,,,,,,,
699725,Alopiopsis Cuvieri (Monte Bolca) - Squalo,2,5 - Esportato,,,UNIBO FICLIT,Francesca Fabbri,Fotogrammetria,Nikon D750,20/06/2024,20/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,08/07/2024,08/07/2024,UNIBO FICLIT,Francesca Fabbri,Blender,12/07/2024,26/7/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender, Photoshop, 3DF Zephyr",26/7/2024,26/7/2024,UNIBO FICLIT,Francesca Fabbri,Blender,26/7/2024,26/7/2024,,,,,,,,,,,,,,,,
699726,Torvosaurus tanneri,10,1c - Acquisito ma da completare,,,UNIBO DBC,Federica Collina,Scanner Artec,Artec Eva,10/06/2024,10/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5 - Esportato,,,UNIBO FICLIT,Francesca Fabbri,Fotogrammetria,Nikon D750,24/06/2024,24/06/2024,UNIBO FICLIT,Francesca Fabbri,3DF Zephyr,25/7/2024,25/7/2024,UNIBO FICLIT,Francesca Fabbri,Blender,,7/8/2024,UNIBO FICLIT,Francesca Fabbri,"Instant Meshes, Blender, 3DF Zephyr",10/9/2024,11/9/2024,UNIBO FICLIT,Francesca Fabbri,Blender,11/9/2024,11/9/2024,,,,,,,,,,,,,,,,
699706,Stenella,4,5 - Esportato,,,CNR ISPC,Maria Felicia Rega,Fotogrammetria,Canon EOS 6D,12/10/2024,12/10/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,12/17/2024,12/17/2024,CNR ISPC,Maria Felicia Rega,Blender,12/17/2024,12/17/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp, 3DF Zephyr",12/17/2024,12/17/2024,CNR ISPC,Maria Felicia Rega,Blender,1/13/2025,1/13/2025,,,,,,,,,,,,,,,,
6,Ammoniti: ,PT4F  (S15),,,no entità. Stanza definita da Michela come Sala 15 (prima segnata come S9). PT4F e PT4G si riferiscono a due armadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699727,Subgrossovuria - Giurassico - Francia,15,5 - Esportato,,,UNIBO FICLIT,"Mahnoush Pourhosseini Akbarie, Valentina Bertelli, Kaosaier Wusiman,  Nazanin Fakharian ",Fotogrammetria,Panasonic DMC-LX100,03/06/2024,03/06/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,17/07/2024,17/07/2024,CNR ISPC,Maria Felicia Rega,Blender,17/07/2024,17/07/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp, 3DF Zephyr",17/07/2024,17/07/2024,CNR ISPC,Maria Felicia Rega,Blender,17/07/2024,17/07/2024,,,,,,,,,,,,,,,,
6b,Ammonoidea Cephalopoda - Marocco,15,1b - Acquisito ma da rifare,,,UNIBO FICLIT,"Mahnoush Pourhosseini Akbarie, Valentina Bertelli, Kaosaier Wusiman,  Nazanin Fakharian ",Fotogrammetria,Panasonic DMC-LX100,03/06/2024,03/06/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699690,Ammoinidea Cephalopoda - Germania,15,5 - Esportato,,uno a scelta tra 6c e 6i,CNR ISPC,Maria Felicia Rega,Fotogrammetria,Canon EOS 6D,10/12/2024,10/12/2024,CNR ISPC,Maria Felicia Rega,3DF Zephyr,12/12/2024,12/12/2024,CNR ISPC,Maria Felicia Rega,Blender,12/12/2024,12/12/2024,CNR ISPC,Maria Felicia Rega,"Instant Meshes, Blender, Gimp, 3DF Zephyr",12/12/2024,12/12/2024,CNR ISPC,Maria Felicia Rega,Blender,12/12/2024,12/12/2024,,,,,,,,,,,,,,,,
