"NR","NR collegato","Relazione","Sala mostra","Didascalia","Consistenza","Tipologia documentaria","Tecnica","Tipologia riprod. in mostra","Soggetti","Titolo originale","Titolo museale","Titolo @en","Data","Scopritore","Autore","Traduttore","Disegnatore","Incisore","Editore","Luogo editore","Preparatore museale","Committente","Tipologia opera parente","Titolo opera parente","Volume","Collezione","Ente conservatore","Luogo conservazione","Collocazione","Fonte","Immagine digitale","Iconografia"
"L1","","","1","Amerigo Vespucci sveglia l’America
 Amerigo Vespucci awakens a sleeping America
 In
 Jan van del Straet (Stradano), Nova Reperta, c. 1589 – c.1593, Antwerp
 Amsterdam, Rijksmuseum","","Stampa","Incisione","Stampa","Amerigo Vespucci; 
astrolabio; 
vessillo Croce del sud;
formichiere; 
bradipo; 
tapiro;
gruppo di cannibali","Amerigo Vespucci sveglia l’America @ita","Amerigo Vespucci sveglia l’America"," Amerigo Vespucci awakens a sleeping America","1589-1593","","Straet, Jan van der (ULAN:500011304)","","Straet, Jan van der (ULAN:500011304)","Galle, Philip (ULAN:500016136); Galle, Theodor; Collaert, Jan","Galle, Philip (ULAN:500016136)","","","Alamanni, Luigi (ULAN:500714480)","Serie di stampe","Nova Reperta","","Nova Reperta","Rijksmuseum","Amsterdam","","https://www.museogalileo.it/istituto/mostre-virtuali/vespucci/iconografia/nova_reperta.html","https://www.museogalileo.it/istituto/assets/galleries/65/tn_323256_00003z.jpg","Il fiorentino Amerigo Vespucci, di fronte a un’America appena svegliata in costume indigeno, tiene in mano un vessillo con la Croce del sud, da lui scoperta, e un astrolabio nautico. 
A meglio identificare il luogo contribuiscono alcuni esemplari della fauna americana, un formichiere, un bradipo, un tapiro, e sullo sfondo un gruppo di cannibali che cuociono sul fuoco parti umane."
"1","","","1","Carta nautica
 Nautical chart
 Grazioso Benincasa, sec. XV
 BUB, Rotulo 3","","Carta nautica","Disegno","Carta nautica","Europa; Africa; Asia; Mar Mediterraneo","Carta Nautica @ita","Carta nautica"," Nautical chart","1482","","Benincasa, Grazioso (ULAN:500114874)","","Benincasa, Grazioso (ULAN:500114874)","","","","","Riario, Raffaelo (VIAF:25474452)","","","","","BUB","Bologna","Rotulo 3","","https://it.wikipedia.org/wiki/Grazioso_Benincasa#/media/File:Grazioso_Benincasa._Biblioteca_Universitaria,_Bolonia.1482.jpg",""
"2","","","1","Panthera leo (Linnaeus, 1758) 
 Diorama con tre leoni tassidermizzati Diorama with three taxidermized lions
 Manifattura Rowland Ward - Londra, inizio sec. XX – early 20th century
 Bologna, Collezione di Zoologia, Sistema Museale di Ateneo","","Diorama","Tassidermia","Diorama","leone","","Panthera leo (Linnaeus, 1758) ","Lion (Linnaeus, 1758) ","1900-1930","Linné, Carl von (VIAF:34594730)","Ward, James Rowland (VIAF:60497939)","","","","","","","","","","","Collezione di Zoologia","Sistema Museale di Ateneo di Bologna","Bologna","","","",""
"V1","","","1","San Girolamo nel suo studio
 Saint Jerome in His Study
 Colantonio, 1445-1446. Napoli, Museo e Real Bosco di Capodimonte","","Dipinto","Olio su tela","Video","San Girolamo; leone; studio","San Girolamo nel suo studio @ita","San Girolamo nel suo studio","Saint Jerome in His Study","1445-1446","","Colantonio, Niccolò (ULAN:500013389)","","","","","","","","Dipinto","","","","Museo e Real Bosco di Capodimonte","Napoli","inv. Q 20","https://commons.wikimedia.org/wiki/File:Colantonio,_Jerome_in_his_Study.jpg","https://en.wikipedia.org/wiki/Saint_Jerome_in_His_Study_(Colantonio)#/media/File:Colantonio,_Jerome_in_his_Study.jpg",""
"3","","","1","Aristoteles
 De Historia Animalium lib. 9 
 Venezia, Girolamo Scoto, 1545
 BUB, A.V.GG.VII.28","","Volume a stampa","Stampa tipografica","Volume a stampa","biologia","De Historia Animalium @lat","De Historia Animalium","The History of Animals","1545","","Aristotele (ULAN:500259120)","","","","Scoto, Girolamo (VIAF:13137489)","","","","Serie di volumi a stampa","De Historia Animalium","9","","BUB","Bologna","A.V.GG.VII.28","","",""
"4","","","1","Theophrastus
 Peri phyton (De historia plantarum) 
 in Aristoteles, Opera, vol. 4 Venezia, Aldo Manuzio, 1497
 ISTC ia00959000
 BUB, A.V.KK.X.6","","Volume a stampa","Stampa tipografica","Volume a stampa","botanica","De Historia Plantarum @lat","De historia plantarum","The History of Plants","1497","","Teofrasto (VIAF:265397758)","","","","Manuzio, Aldo (VIAF:96325760)","","","","Incunabolo","Opera (ISTC:ia00959000)","4","","BUB","Bologna","A.V.KK.X.6","https://data.cerl.org/istc/ia00959000
https://data.cerl.org/mei/02133227","",""
"5","","","1","Dioscorides Pedanius 
 De Medica Materia
 Firenze, Filippo Giunta eredi, 1523
 BUB, A.IV.H.I.27","","Erbario","Stampa tipografica","Erbario","erbe medicinali","De Medica Materia @lat","De Medica Materia","On Medical Material","1523","","Dioscorides Pedanius (VIAF:78822798)","","","","Giunta, Filippo (VIAF:79080779)","Firenze","","","","","","","BUB","Bologna","A.IV.H.I.27","","",""
"6","","","1","Plinius Secundus Gaius
 Naturae Historiarum
 Venezia, Giorgio Rusconi, 1519
 BUB, A.V.R.VI.9","","Volume a stampa","Stampa tipografica","Volume a stampa","medicina; botanica","Naturae Historiarum @lat","Naturae Historiarum","The Natural History","1519","","Plinius Secundus, Gaius (VIAF:100219162)","","","","Rusconi, Giorgio (VIAF:36501174)","Venezia","","","","","","","BUB","Bologna","A.V.R.VI.9","","",""
"7","","","1","Profilo incompleto delle coste del continente americano 
 Incomplete coastal profile of the American continent
 in 
 Battista Agnese, Atlante nautico, sec. XVI 16th century
 BUB, Ms. 997","","Carta nautica","Disegno","Carta nautica","America; Europa","Profilo incompleto delle coste del continente americano @ita","Profilo incompleto delle coste del continente americano"," Incomplete coastal profile of the American continent","1500-1599","","Agnese, Battista(ULAN:500048088)","","Agnese, Battista(ULAN:500048088)","","","","","Alfonso II d'Este (VIAF:27142287)","Atlante nautico","Atlante nautico","","","BUB","Bologna","Ms. 997","http://www.rmoa.unina.it/4532/1/_SD%202016%20Baumgaertner_Battista%20Agnese_20160215.pdf","",""
"8","","","1","Mappa di Cusco
 Map of Cusco
 in 
 Giovanni Battista Ramusio, Delle Navigationi et Viaggi Venezia, Giunta, 1556
 BUB, A.IV.P.I.14/3","","Carta nautica","Stampa","Carta nautica","America; Perù; Cusco","Mappa di Cusco @ita","Mappa di Cusco","Map of Cusco","1556","","Ramusio, Giovanni Battista (VIAF:68943129)","","","","Giunta, Filippo (VIAF:79080779)","Firenze","","","Volume a stampa","Delle Navigationi et Viaggi","","","BUB","Bologna","A.IV.P.I.14/3","https://commons.wikimedia.org/wiki/File:1565_Cusco_Ramusio_Delle_Navigationi_vol3_pp411-412.png;
https://collections.library.yale.edu/catalog/2030955;","https://upload.wikimedia.org/wikipedia/commons/b/b4/1565_Cusco_Ramusio_Delle_Navigationi_vol3_pp411-412.png",""
"9","","","1","Pietro Martire d’Anghiera 
 De Orbo Novo 
 Alcalà de Henares, de Eguia Miguel, 1530 
 BUB, A.M.C.V.2","","Volume a stampa","Stampa tipografica","Volume a stampa","America","De Orbo Novo @lat","De Orbo Novo","On the New World","1530","","Anghiera, Pietro Martire d' (VIAF:68967770)","","","","Eguía, Miguel de (VIAF:99748920)","Alcalà de Henares","","","","","","","BUB","Bologna","A.M.C.V.2","https://openlibrary.org/books/OL861815M/De_orbe_nouo_Petri_Martyris_ab_Angleria_Mediolanensis_protonotarij_c_a_esaris_senatoris_decades.","https://openlibrary.org/books/OL861815M/De_orbe_nouo_Petri_Martyris_ab_Angleria_Mediolanensis_protonotarij_c_a_esaris_senatoris_decades.",""
"10","","","1","Josè de Acosta
 Historia naturale, e morale delle Indie 
 Venezia, Bernardo Basa, 1596 
 BUB, A.M.RR.I.33","","Volume a stampa","Stampa tipografica","Volume a stampa","America; fauna; flora","Historia naturale, e morale delle Indie @ita","Historia naturale, e morale delle Indie","Natural and Moral History of the Indies","1596","","Acosta, José de (VIAF:2465365)","","","","Basa, Bernardo (VIAF:29690263)","Venezia","","","","","","","BUB","Bologna","A.M.RR.I.33","https://it.wikipedia.org/wiki/De_orbe_novo","",""
"11","","","1","Tabacco 
 Tobacco
 in 
 Nicolas Monardes, Simplicium medicamentorum ex Novo Orbe delatorum, Anversa, Christopher Plantin, 1579 
 BUB, A.IV.G.IX.5/2","","Stampa","Stampa tipografica","Volume a stampa","flora; America","Tabacco @ita","Tabacco","Tobacco","1579","","Monardes, Nicolás (VIAF:100203985)","","","","Plantin, Christophe (VIAF:120696841)","Anversa","","","Volume a stampa","Simplicium medicamentorum ex Novo Orbe delatorum","","","BUB","Bologna","A.IV.G.IX.5/2","https://www.biodiversitylibrary.org/bibliography/75184","https://bibdigital.rjb.csic.es/records/item/13790-redirection",""
"V2 - 1","","","1","Giovanni Domenico Tiepolo
 Figura allegorica che rappresenta l’America 
 Allegorical figure representing America
 sec. XVIII 18th century 
 New York, The Metropolitan Museum of Art.","","Dipinto","Affresco","Video","America; allegoria; coccodrillo","Figura allegorica che rappresenta l’America @ita","Figura allegorica che rappresenta l’America","Allegorical figure representing America","1727–1804","","Tiepolo, Giovanni Domenico (ULAN:500025154)","","Tiepolo, Giovanni Domenico (ULAN:500025154)","","","","","","Serie di affreschi","I quattro continenti","","","The Metropolitan Museum of Art","New York","43.85.20","https://www.metmuseum.org/art/collection/search/437810","https://collectionapi.metmuseum.org/api/collection/v1/iiif/437810/805471/main-image","This work is part of a series of the allegorical representations of the Four Continents that originally served as overdoors. 
Giovanni Domenico Tiepolo based his figure of America on symbols codified in Cesare Ripa’s Iconologia (1593): the feathered headdress and crocodile. 
Like representations of saints or other figures that artists aimed to identify, these attributes were important signals to historical audiences, though in the case of the Four Continents, they eventually fed into racialized stereotypes. 
Like the other large-scale allegorical frescoes in this gallery, this panel was probably detached around 1900 from the Palazzo Valle Marchesini Sala in Vicenza."
